Type of Incident,Year of Incident
INTERFERE W/ CHILD CUSTODY,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
BMV,2022
FOUND PROPERTY (NO OFFENSE),2019
BURGLARY OF HABITATION -NO FORCED ENTRY,2022
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
TRAFFIC VIOLATION - NON HAZARDOUS,2023
ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),2018
BURGLARY OF BUILDING - NO FORCED ENTRY,2023
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2020
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2019
MANIFESTING FOR SELLING DRUGS,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
ROBBERY OF BUSINESS (AGG),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
SEIZED PROPERTY (NO OFFENSE),2020
CREDIT CARD OR DEBIT CARD ABUSE - PRELIMINARY INVESTIGATION,2019
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
BMV,2018
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2020
BMV,2018
UNLAWFUL CARRYING WEAPON,2023
CRIMINAL TRESPASS,2020
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
BURGLARY OF BUILDING - FORCED ENTRY,2019
POSS MARIJUANA <2OZ,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
FOUND PROPERTY (NO OFFENSE),2019
"EVADING ARREST DET W/VEH/WTRCFT W/PREV CONV OR SBI PC38.04(b2A,B)",2019
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2023
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2023
ABANDONED PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
THEFT BY DECEPTION (FRAUD) >OR EQUAL $2500 <$30K,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ASSAULT (AGG) -DEADLY WEAPON,2023
INTERFERE W/ PUBLIC DUTIES,2020
FOUND PROPERTY (NO OFFENSE),2019
PUBLIC INTOXICATION,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
BURGLARY OF BUILDING - FORCED ENTRY,2022
CRIM MISCHIEF >OR EQUAL $100 BUT <$750,2016
BMV,2023
TRAF VIO -RECKLESS DRIVING,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
ROBBERY OF BUSINESS (AGG),2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2015
ROBBERY OF INDIVIDUAL,2019
ROBBERY OF INDIVIDUAL (AGG),2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
BURGLARY OF BUILDING - FORCED ENTRY,2020
FOUND PROPERTY (NO OFFENSE),2019
BMV,2022
LOST PROPERTY (NO OFFENSE),2019
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2019
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2019
POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
DEADLY CONDUCT DISCHARGE FIREARM,2020
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
CRIMINAL TRESPASS AFFIDAVIT,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
CRIMINAL TRESPASS WARNING,2023
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BMV,2023
CRIM MISCHIEF > OR EQUAL $100 < $750,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
POSS CONT SUB PEN GRP 1 <1G,2022
BMV,2022
UNLAWFUL CARRYING WEAPON,2022
ASSAULT (AGG) -DEADLY WEAPON,2020
OTHER OFFENSE - MISDEMEANOR  (NO CODE),2020
ASSAULT (AGG) -DEADLY WEAPON,2022
OPEN BUILDING (NO OFFENSE),2023
CRIMINAL TRESPASS WARNING,2019
DEADLY CONDUCT,2020
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2018
"THEFT OF SERVICE > OR EQUAL $2,500 <$30K PC31.04(e4)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
DEADLY CONDUCT,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ABANDONED PROPERTY (NO OFFENSE),2020
FORGERY FINANCIAL INSTRUMENT,2020
BURGLARY OF HABITATION - FORCED ENTRY,2019
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
BURGLARY OF HABITATION - FORCED ENTRY,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2023
KIDNAPPING (AGG) -,2021
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2019
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2019
THEFT OF SERVICE < $100,2022
DISORDERLY CONDUCT,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
PUBLIC INTOXICATION,2019
LOST PROPERTY (NO OFFENSE),2018
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
EVADING ARREST DETENTION,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
BMV,2019
DEADLY CONDUCT,2020
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2019
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2023
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2018
BURGLARY OF HABITATION -NO FORCED ENTRY,2019
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2022
BURGLARY OF BUILDING - FORCED ENTRY,2018
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2018
ABANDONED PROPERTY (NO OFFENSE),2018
FOUND PROPERTY (NO OFFENSE),2020
FOUND PROPERTY (NO OFFENSE),2022
INTERFERE W/ CHILD CUSTODY,2018
ASSAULT -VERBAL THREAT,2018
FOUND PROPERTY (NO OFFENSE),2022
DEADLY CONDUCT,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2019
BURGLARY OF HABITATION - FORCED ENTRY,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
CRIMINAL TRESPASS WARNING,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
SEIZED PROPERTY (NO OFFENSE),2020
TERRORISTIC THREAT INTERRUPT PUBLIC PLACE,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
THEFT BY DECEPTION (FRAUD) >OR EQUAL $100 <$750,2022
ASSAULT (AGG) -DEADLY WEAPON,2020
OTHER OFFENSE - MISDEMEANOR,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ REMUN *DRUG FREE ZONE*,2020
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
POSSESSION OF STOLEN PROPERTY,2021
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ABANDONED PROPERTY (NO OFFENSE),2020
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
"CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500",2016
LOST PROPERTY (NO OFFENSE),2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
CRIMINAL TRESPASS WARNING,2019
ASSAULT (AGG) -DEADLY WEAPON,2022
CRIMINAL TRESPASS WARNING,2018
OPEN BUILDING (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
CRIMINAL TRESPASS WARNING,2023
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
INTERFERE W/ CHILD CUSTODY,2022
ASSAULT -BODILY INJURY ONLY,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
NATURAL DEATH (NO OFFENSE),2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
POSS MARIJUANA <2OZ,2020
FOUND PROPERTY (NO OFFENSE),2019
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
BMV,2017
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
RECKLESS DAMAGE,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
DWI,2019
BMV - PRELIMINARY INVESTIGATION,2022
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
FORGERY FINANCIAL INSTRUMENT,2016
PUBLIC INTOXICATION,2019
ILLEGAL DUMPING LT LIT/WASTE <500LBS OR <100 CFT HSC 365.012(d-1),2021
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
BMV,2022
ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),2020
BURGLARY OF BUILDING - FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
BURGLARY OF BUILDING - FORCED ENTRY,2019
THREATENING PHONE CALLS,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2020
BMV,2022
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2019
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 BUT<$750(NOT EMP,2016
KIDNAPPING (AGG) -,2021
KEEPING A GAMBLING PLACE,2019
CRIMINAL TRESPASS WARNING,2022
CRIMINAL TRESPASS WARNING,2023
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2017
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FALSE ALARM OR REPORT EMERGENCY,2023
POSS MARIJUANA >4OZ< OR EQUAL 5LBS *DRUG FREE ZONE*,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
CRIM MISCHIEF <$100,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - (ATT) OTHER VEH,2015
ROBBERY OF INDIVIDUAL (AGG),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ABANDONED PROPERTY (NO OFFENSE),2019
OTHER OFFENSE - MISDEMEANOR,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2020
ASSAULT -VERBAL THREAT,2018
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2020
HARASSMENT,2018
KEEPING A GAMBLING PLACE,2020
FOUND PROPERTY (NO OFFENSE),2020
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2016
BMV,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2019
BMV,2015
CRUELTY TO NON-LIVESTOCK ANMLS FAIL PROV/ABDN/TRNSPT/BI/OVWK,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
POSS MARIJUANA <2OZ,2023
CRIMINAL TRESPASS,2015
FOUND PROPERTY (NO OFFENSE),2022
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2018
FOUND PROPERTY (NO OFFENSE),2018
BMV,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2022
CRIMINAL TRESPASS WARNING,2019
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 BUT <$2,500 (NOT EMP",2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT FROM PERSON,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BURGLARY OF HABITATION -NO FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
TRAF VIO - DUTY ON STRIKE FIXTURE/HWY LANDSCAPE> OR EQUAL $200,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
POSS MARIJUANA <2OZ,2022
CRIM MISCHIEF > OR EQUAL $750 < $30K DESTROY SCHOOL,2020
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
NATURAL DEATH (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
ROBBERY OF INDIVIDUAL - PRELIMINARY INVESTIGATION,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
THEFT OF PROP > OR EQUAL $30K <$150K (EMPLOYEE) PC31.03(e5),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2014
ABANDONED PROPERTY (NO OFFENSE),2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
ASSAULT -BODILY INJURY ONLY,2023
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2017
ROBBERY OF BUSINESS (AGG),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
RECKLESS DAMAGE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
FOUND PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2019
ASSAULT (AGG) - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2023
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2017
CRIM MISCHIEF > OR EQUAL $100 < $750,2019
EVADING ARREST DETENTION,2020
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
ROBBERY OF INDIVIDUAL,2021
CRIMINAL TRESPASS WARNING,2019
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
ABANDONED PROPERTY (NO OFFENSE),2023
FOUND PROPERTY (NO OFFENSE),2016
BMV,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ASSAULT (AGG) -DEADLY WEAPON,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
BMV,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
BURGLARY OF BUILDING - NO FORCED ENTRY,2022
BMV,2023
PUBLIC INTOXICATION,2018
